id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,issue_d,loan_status,url
150,8450,8450, 60 months,16.77%,208.97,D,D2,OWN,25000,11-Dec,Fully Paid,
151,20000,20000, 60 months,13.49%,460.1,C,C1,RENT,82000,11-Dec,Fully Paid,
152,10000,10000, 36 months,11.71%,330.76,B,B3,RENT,60000,11-Dec,Charged Off,
153,12000,12000, 36 months,16.29%,423.61,D,D1,MORTGAGE,80000,11-Dec,Fully Paid,
154,13475,13475, 60 months,13.49%,309.99,C,C1,RENT,25000,11-Dec,Charged Off,
155,7200,7200, 36 months,12.42%,240.59,B,B4,RENT,48000,11-Dec,Fully Paid,
156,5600,5600, 36 months,14.65%,193.17,C,C3,MORTGAGE,85000,11-Dec,Charged Off,
157,12000,12000, 36 months,14.27%,411.71,C,C2,RENT,57000,11-Dec,Fully Paid,
158,8500,8500, 36 months,6.03%,258.71,A,A1,RENT,25000,11-Dec,Fully Paid,
159,8000,8000, 36 months,9.91%,257.8,B,B1,RENT,34000,11-Dec,Fully Paid,
160,8000,8000, 36 months,12.42%,267.33,B,B4,RENT,40000,11-Dec,Fully Paid,
161,16000,16000, 60 months,15.27%,382.92,C,C4,RENT,42656.4,11-Dec,Fully Paid,
162,15000,15000, 36 months,17.27%,536.81,D,D3,MORTGAGE,44400,11-Dec,Fully Paid,
163,10000,10000, 36 months,9.91%,322.25,B,B1,OWN,30000,11-Dec,Fully Paid,
164,10000,10000, 36 months,6.62%,307.04,A,A2,MORTGAGE,70000,11-Dec,Fully Paid,
165,8000,8000, 36 months,14.65%,275.96,C,C3,RENT,28000,11-Dec,Fully Paid,
166,22000,22000, 36 months,9.91%,708.95,B,B1,MORTGAGE,50000,11-Dec,Fully Paid,
167,6000,6000, 36 months,14.27%,205.86,C,C2,MORTGAGE,94800,11-Dec,Fully Paid,
168,16000,16000, 60 months,9.91%,339.25,B,B1,OWN,40000,11-Dec,Fully Paid,
169,2500,2500, 36 months,7.51%,77.78,A,A3,OWN,12000,11-Dec,Charged Off,
170,13500,13500, 36 months,9.91%,435.04,B,B1,MORTGAGE,36000,11-Dec,Fully Paid,
171,25000,25000, 36 months,12.42%,835.39,B,B4,RENT,225000,11-Dec,Fully Paid,
172,10000,10000, 36 months,13.49%,339.31,C,C1,RENT,45900,11-Dec,Fully Paid,
173,2500,2500, 36 months,13.49%,84.83,C,C1,RENT,27200,11-Dec,Fully Paid,
174,7325,7325, 36 months,12.69%,245.72,B,B5,RENT,42000,11-Dec,Fully Paid,
175,4000,4000, 36 months,12.42%,133.67,B,B4,RENT,135000,11-Dec,Fully Paid,
176,10000,10000, 36 months,13.49%,339.31,C,C1,RENT,65000,11-Dec,Charged Off,
177,7750,7750, 36 months,17.27%,277.36,D,D3,RENT,24000,11-Dec,Charged Off,
178,20000,20000, 60 months,20.89%,539.84,F,F1,RENT,70000,11-Dec,Charged Off,
179,9600,9600, 36 months,12.42%,320.79,B,B4,RENT,65000,11-Dec,Fully Paid,
180,21000,21000, 60 months,11.71%,464.07,B,B3,RENT,60000,11-Dec,Charged Off,
181,14000,14000, 36 months,10.65%,456.03,B,B2,RENT,30000,11-Dec,Fully Paid,
182,13350,13350, 36 months,12.42%,446.1,B,B4,RENT,43000,11-Dec,Fully Paid,
183,15000,15000, 36 months,16.77%,533.08,D,D2,RENT,42000,11-Dec,Charged Off,
184,15000,15000, 36 months,17.27%,536.81,D,D3,RENT,75000,11-Dec,Charged Off,
185,11000,11000, 60 months,13.49%,253.06,C,C1,MORTGAGE,129000,11-Dec,Fully Paid,
186,35000,35000, 36 months,10.65%,1140.07,B,B2,MORTGAGE,168000,11-Dec,Fully Paid,
187,9000,9000, 36 months,10.65%,293.16,B,B2,MORTGAGE,74000,11-Dec,Fully Paid,
188,22475,22475, 60 months,15.27%,537.87,C,C4,MORTGAGE,52000,11-Dec,Fully Paid,
189,16000,16000, 36 months,12.69%,536.72,B,B5,RENT,58500,11-Dec,Charged Off,
190,13500,13500, 36 months,12.69%,452.86,B,B5,RENT,71000,11-Dec,Fully Paid,
191,24000,24000, 36 months,12.69%,805.08,B,B5,RENT,75000,11-Dec,Fully Paid,
192,12000,12000, 36 months,10.65%,390.88,B,B2,RENT,60000,11-Dec,Fully Paid,
193,8400,8400, 60 months,16.77%,207.73,D,D2,RENT,87996,11-Dec,Fully Paid,
194,28000,28000, 60 months,17.58%,704.64,D,D4,MORTGAGE,140000,11-Dec,Fully Paid,
195,14000,14000, 36 months,6.62%,429.86,A,A2,RENT,66000,11-Dec,Fully Paid,
196,12000,12000, 36 months,14.27%,411.71,C,C2,MORTGAGE,70000,11-Dec,Charged Off,
197,25000,25000, 36 months,11.71%,826.9,B,B3,MORTGAGE,100000,11-Dec,Fully Paid,
198,9000,9000, 36 months,12.69%,301.91,B,B5,RENT,50000,11-Dec,Fully Paid,
199,13250,13250, 36 months,10.65%,431.6,B,B2,RENT,35000,11-Dec,Fully Paid,
200,20000,20000, 36 months,13.49%,678.61,C,C1,RENT,75000,11-Dec,Fully Paid,
201,3000,3000, 36 months,14.65%,103.49,C,C3,RENT,71000,11-Dec,Fully Paid,
202,7350,7350, 36 months,10.65%,239.42,B,B2,MORTGAGE,48000,11-Dec,Fully Paid,
203,11500,11500, 36 months,15.27%,400.18,C,C4,RENT,36000,11-Dec,Fully Paid,
204,13650,13650, 36 months,12.42%,456.12,B,B4,MORTGAGE,86000,11-Dec,Charged Off,
205,10500,10500, 36 months,16.29%,370.66,D,D1,RENT,30000,11-Dec,Charged Off,
206,12000,12000, 36 months,9.91%,386.7,B,B1,RENT,60000,11-Dec,Fully Paid,
207,6000,6000, 36 months,8.90%,190.52,A,A5,RENT,34000,11-Dec,Fully Paid,
208,11500,11500, 36 months,15.27%,400.18,C,C4,MORTGAGE,44200,11-Dec,Fully Paid,
209,7000,7000, 36 months,12.42%,233.91,B,B4,MORTGAGE,82000,11-Dec,Fully Paid,
210,29500,29500, 60 months,20.30%,786.51,E,E5,MORTGAGE,83000,11-Dec,Fully Paid,
211,2000,2000, 36 months,15.27%,69.6,C,C4,RENT,41000,11-Dec,Fully Paid,
212,11625,11625, 36 months,13.49%,394.45,C,C1,MORTGAGE,36000,11-Dec,Fully Paid,
213,15075,15075, 36 months,14.27%,517.21,C,C2,RENT,35000,11-Dec,Charged Off,
214,5300,5300, 36 months,15.27%,184.43,C,C4,RENT,30000,11-Dec,Fully Paid,
215,8200,8200, 36 months,6.62%,251.77,A,A2,RENT,40000,11-Dec,Fully Paid,
216,12000,12000, 36 months,12.42%,400.99,B,B4,MORTGAGE,105000,11-Dec,Fully Paid,
217,8650,8650, 36 months,14.27%,296.78,C,C2,MORTGAGE,45000,11-Dec,Fully Paid,
218,21000,11800, 60 months,17.27%,294.98,D,D3,MORTGAGE,109000,11-Dec,Fully Paid,
219,16000,16000, 60 months,17.27%,399.97,D,D3,RENT,50000,11-Dec,Fully Paid,
220,12000,12000, 36 months,12.42%,400.99,B,B4,RENT,83000,11-Dec,Fully Paid,
221,9500,9500, 36 months,12.69%,318.68,B,B5,MORTGAGE,52500,11-Dec,Charged Off,
222,7400,7400, 36 months,13.49%,251.09,C,C1,OWN,25000,11-Dec,Fully Paid,
223,14400,14400, 36 months,13.49%,488.6,C,C1,MORTGAGE,60000,11-Dec,Fully Paid,
224,24250,18100, 60 months,23.91%,519.76,G,G4,MORTGAGE,120000,11-Dec,Fully Paid,
225,7200,7200, 36 months,7.90%,225.29,A,A4,RENT,68000,11-Dec,Charged Off,
226,26000,26000, 60 months,16.77%,642.96,D,D2,MORTGAGE,53000,11-Dec,Charged Off,
227,7000,7000, 60 months,11.71%,154.69,B,B3,MORTGAGE,69600,11-Dec,Charged Off,
228,4000,4000, 36 months,7.51%,124.45,A,A3,RENT,65000,11-Dec,Fully Paid,
229,1500,1500, 36 months,17.27%,53.69,D,D3,MORTGAGE,144000,11-Dec,Fully Paid,
230,19600,19600, 36 months,12.42%,654.94,B,B4,RENT,75000,11-Dec,Fully Paid,
231,2500,2500, 36 months,11.71%,82.69,B,B3,MORTGAGE,29000,11-Dec,Fully Paid,
232,10000,10000, 36 months,12.69%,335.45,B,B5,RENT,70000,11-Dec,Charged Off,
233,10000,10000, 36 months,6.62%,307.04,A,A2,RENT,45000,11-Dec,Fully Paid,
234,4225,4225, 36 months,12.42%,141.18,B,B4,MORTGAGE,55200,11-Dec,Fully Paid,
235,3500,3500, 36 months,7.90%,109.52,A,A4,MORTGAGE,61440,11-Dec,Fully Paid,
236,12000,12000, 36 months,6.62%,368.45,A,A2,MORTGAGE,56000,11-Dec,Fully Paid,
237,16500,16500, 36 months,8.90%,523.93,A,A5,RENT,47000,11-Dec,Fully Paid,
238,22000,22000, 60 months,21.67%,603.5,F,F3,RENT,55000,11-Dec,Fully Paid,
239,12000,12000, 36 months,14.65%,413.94,C,C3,RENT,71000,11-Dec,Fully Paid,
240,15600,15600, 60 months,12.69%,352.48,B,B5,RENT,50000,11-Dec,Charged Off,
241,10800,10800, 36 months,12.42%,360.89,B,B4,RENT,135000,11-Dec,Fully Paid,
242,14000,14000, 36 months,12.42%,467.82,B,B4,MORTGAGE,63000,11-Dec,Fully Paid,
243,18825,18825, 60 months,17.58%,473.75,D,D4,MORTGAGE,44000,11-Dec,Fully Paid,
244,6000,6000, 36 months,13.49%,203.59,C,C1,MORTGAGE,50000,11-Dec,Fully Paid,
245,12000,12000, 36 months,9.91%,386.7,B,B1,RENT,80000,11-Dec,Fully Paid,
246,10000,10000, 36 months,12.42%,334.16,B,B4,RENT,45000,11-Dec,Fully Paid,
247,8000,8000, 36 months,7.90%,250.33,A,A4,RENT,78000,11-Dec,Fully Paid,
248,14125,14125, 36 months,9.91%,455.18,B,B1,RENT,33000,11-Dec,Fully Paid,
249,14000,14000, 36 months,12.69%,469.63,B,B5,RENT,62800,11-Dec,Fully Paid,
250,13200,8975, 60 months,17.27%,224.36,D,D3,RENT,26400,11-Dec,Fully Paid,
251,4000,4000, 36 months,19.03%,146.69,E,E2,MORTGAGE,80000,11-Dec,Fully Paid,
252,4000,4000, 36 months,12.69%,134.18,B,B5,RENT,25000,11-Dec,Charged Off,
253,10500,10500, 36 months,6.03%,319.58,A,A1,MORTGAGE,65000,11-Dec,Fully Paid,
254,5500,5500, 36 months,7.90%,172.1,A,A4,OWN,59000,11-Dec,Fully Paid,
255,7350,7350, 36 months,11.71%,243.11,B,B3,RENT,33000,11-Dec,Fully Paid,
256,10000,10000, 36 months,12.42%,334.16,B,B4,RENT,39000,11-Dec,Charged Off,
257,12000,12000, 36 months,7.51%,373.33,A,A3,RENT,42000,11-Dec,Fully Paid,
258,5000,5000, 60 months,11.71%,110.5,B,B3,MORTGAGE,38004,11-Dec,Fully Paid,
259,8000,8000, 60 months,11.71%,176.79,B,B3,OWN,31000,11-Dec,Fully Paid,
260,4500,4500, 36 months,8.90%,142.89,A,A5,MORTGAGE,50700,11-Dec,Fully Paid,
261,18000,18000, 36 months,12.42%,601.48,B,B4,OWN,75000,11-Dec,Fully Paid,
262,12300,12300, 60 months,13.49%,282.96,C,C1,MORTGAGE,30000,11-Dec,Fully Paid,
263,12000,12000, 36 months,13.49%,407.17,C,C1,RENT,40000,11-Dec,Fully Paid,
264,10000,10000, 36 months,13.49%,339.31,C,C1,MORTGAGE,50000,11-Dec,Fully Paid,
265,6000,6000, 36 months,7.90%,187.75,A,A4,MORTGAGE,80000,11-Dec,Fully Paid,
266,12000,12000, 36 months,12.69%,402.54,B,B5,RENT,40000,11-Dec,Fully Paid,
267,12000,12000, 36 months,8.90%,381.04,A,A5,RENT,80000,11-Dec,Charged Off,
268,7000,7000, 36 months,11.71%,231.54,B,B3,RENT,75000,11-Dec,Fully Paid,
269,35000,26825, 60 months,18.64%,690.56,E,E1,MORTGAGE,85000,11-Dec,Fully Paid,
270,1400,1400, 36 months,7.90%,43.81,A,A4,RENT,28800,11-Dec,Fully Paid,
271,16000,16000, 60 months,13.49%,368.08,C,C1,RENT,35000,11-Dec,Charged Off,
272,3200,3200, 36 months,9.91%,103.12,B,B1,RENT,61200,11-Dec,Fully Paid,
273,8000,8000, 36 months,7.90%,250.33,A,A4,RENT,40000,11-Dec,Fully Paid,
274,11875,11875, 60 months,12.69%,268.32,B,B5,RENT,25920,11-Dec,Charged Off,
275,5000,5000, 36 months,6.03%,152.18,A,A1,MORTGAGE,54000,11-Dec,Fully Paid,
276,1800,1800, 36 months,6.62%,55.27,A,A2,RENT,18000,11-Dec,Fully Paid,
277,35000,35000, 36 months,8.90%,1111.37,A,A5,RENT,85000,11-Dec,Fully Paid,
278,18000,18000, 36 months,8.90%,571.56,A,A5,RENT,78000,11-Dec,Fully Paid,
279,14000,14000, 36 months,7.90%,438.07,A,A4,OWN,45600,11-Dec,Charged Off,
280,5000,5000, 36 months,12.42%,167.08,B,B4,RENT,70000,11-Dec,Fully Paid,
281,8000,8000, 36 months,15.96%,281.1,C,C5,RENT,70000,11-Dec,Fully Paid,
282,10000,10000, 36 months,6.03%,304.36,A,A1,MORTGAGE,80000,11-Dec,Fully Paid,
283,10000,10000, 36 months,7.51%,311.11,A,A3,RENT,50000,11-Dec,Fully Paid,
